text,index
"['vaccin', 'uttar', 'pradesh', 'state', 'administ', 'crore', 'vaccin', 'dose']",248
"['india', 'report', 'new', 'case', 'lowest', 'day', 'hindi']",249
"['texa', 'senat', 'consid', 'spend', 'state', 'billion', 'relief', 'fund', 'houston', 'public', 'medium']",250
"['spend', 'pcr', 'test', 'china', 'soar', 'month', 'first', 'case', 'reveal', 'report']",251
"['new', 'studi', 'underscor', 'import', 'improv', 'vaccin', 'rate', 'worldwid']",252
"['india', 'adult', 'popul', 'administ', 'first', 'dose', 'vaccin', 'mandaviya']",253
"['doubl', 'pfizer', 'shot', 'effect', 'month', 'accord', 'data', 'california', 'consi']",254
"['act', 'brook', 'van', 'velden', 'accus', 'govern', 'drop', 'ball', 'antivir', 'medic']",255
"['day', 'u', 'death', 'counti', 'wv', 'visual', 'give', 'insight', 'thank', 'ou']",256
"['alaska', 'legislatur', 'conven', 'monday', 'start', 'fourth', 'special', 'session', 'high', 'case', 'acro']",257
"['last', 'week', 'unit', 'state', 'report', 'child', 'case']",258
"['realli', 'worth', 'listen', 'honesti', 'digniti', 'two', 'survivor', 'move', 'victorian', 'hit']",259
"['hey', 'scicomm', 'scienc', 'commun', 'take', 'note', 'gold', 'stplacemed', 'vaccineswork', 'getvaccin']",260
"['person', 'includ', 'year', 'age', 'group', 'test', 'posit', 'odisha', 'last', 'hour', 'death']",261
"['threat', 'fals', 'perez', 'pay', 'someon', 'intent', 'spread', 'groceri', 'store']",262
"['india', 'record', 'fresh', 'infect', 'lowest', 'month']",263
"['lose', 'win', 'say', 'repeat', 'jab', 'vaccin', 'australian', 'vaccin']",264
"['india', 'record', 'new', 'case', 'death', 'last', 'hour', 'offici', 'data']",265
"['daili', 'case', 'countri', 'remain', 'th', 'straight', 'day', 'fresh', 'infecti']",266
"['oct', 'plan', 'travel', 'vaccin', 'certif', 'issu', 'hk']",267
"['correctionsh', 'admit', 'want', 'retain', 'retain', 'power']",268
"['credibl', 'done', 'aviat', 'believ', 'decarbonis', 'without', 'demand', 'side', 'curb', 'gave']",269
"['confirm', 'tomorrow', 'daili', 'brief', 'roll', 'thousand', 'recov', 'covi']",270
"['florida', 'infect', 'fallin', 'past', 'month', 'florida', 'alot', 'activ']",271
"['here', 'tell', 'u', 'truth', 'mani', 'peopl', 'get', 'sick', 'got']",272
"['mani', 'bced', 'kid', 'cavalierli', 'thrown', 'present', 'school', 'yr', 'long', 'term', 'health', 'risk', 'dismiss']",273
"['lesson', 'learn', 'mind']",274
"['vaccin', 'prepar', 'immun', 'system', 'combat', 'measl', 'small', 'pox', 'polioetc']",275
"['push', 'busi', 'shift', 'digit', 'landscap', 'weve', 'seen', 'major', 'digitaltransform']",276
"['doctor', 'quit', 'out', 'scheme', 'hand', 'blank', 'mask', 'exempt', 'card']",277
"['russia', 'hit', 'record', 'number', 'daili', 'death', 'case']",278
"['myanmar', 'situat', 'myanmarcovidso', 'octcoup', 'whatshappeninginmyanmar']",279
"['pfizer', 'vaccin', 'trial', 'show', 'promis', 'result', 'kid', 'age']",280
"['tag', 'dr', 'panalthough', 'im', 'sure', 'senat', 'pan', 'would', 'also', 'happi', 'provid', 'good', 'inform']",281
"['report', 'th', 'octob', 'new', 'posit', 'case', 'new', 'recoveri', 'cumul', 'test', 'positiv']",282
"['oper', 'coshar', 'move', 'high', 'gear', 'coshar', 'tourism', 'mauritiu']",283
"['vaccin', 'nwo', 'israel']",284
"['told', 'kerala', 'craft', 'exit', 'strategi', 'improv', 'livelihood', 'soci']",285
"['greec', 'travel', 'restrict', 'need', 'know', 'travel', 'greec', 'gtgt', 'detail']",286
"['safe', 'give', 'shot', 'flu', 'vaccin', 'time', 'say', 'uk', 'studi']",287
"['india', 'report', 'new', 'case', 'lowest', 'spike', 'daili', 'infect', 'day', 'countri', 'activ']",288
"['renew', 'energi', 'social', 'patholog', 'lead', 'poison', 'persist', 'today', 'disinform', 'misinfo']",289
"['good', 'night', 'make', 'best', 'choic', 'student', 'taught', 'million', 'parent', 'th']",290
"['kalkinemediacomau', 'aussi', 'get', 'merck', 'oral', 'treatment', 'soon', 'publish', 'tga']",291
"['india', 'report', 'new', 'case', 'last', 'hour', 'lowest', 'day', 'activ', 'caseload', 'stand']",292
"['effect', 'pfizer', 'incbiontech', 'se', 'vaccin', 'prevent', 'infect', 'drop', 'pe']",293
"['someth', 'someth', 'trade', 'human', 'pose', 'neurocrin', 'bioscienc', 'nbix', 'notrealinvestingadvic']",294
"['senat', 'johnson', 'tucker', 'discus', 'vaccin', 'earli', 'treatment', 'novaccinepassportsanywher']",295
"['ye', 'know', 'much', 'veteran', 'epidemiolog', 'research', 'cours']",296
"['turkestan', 'case', 'regist', 'turkestan', 'region', 'peopl', 'vaccin']",297
"['thomasandskhumba', 'number', 'conveni']",298
"['infecti', 'diseas', 'expert', 'also', 'believ', 'year', 'reduc', 'fatal', 'rate']",299
"['fda', 'approv', 'first', 'vaccin', 'fda']",300
"['new', 'infect', 'report', 'india', 'last', 'hour', 'kerala', 'report', 'new', 'case', 'death', 'ani']",301
"['global', 'caseload', 'top', 'million', 'kalingatv']",302
"['studi', 'show', 'pfizer', 'vaccin', 'effect', 'declin', 'six', 'month', 'thehil']",303
"['latest', 'momus', 'smash', 'daili', 'thank', 'ai']",304
"['death', 'weekend', 'bc', 'meant', 'averag']",305
"['sucker', 'born', 'everi', 'minut', 'there', 'also', 'sucker', 'die']",306
